"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Mike Trout","LAA","157","679","538","151","27","4","43","116","116","121","149","12","12","3",".281",".421",".586","1.007",".411","-3.1","1.3","7.5","5.9","10155"
"Mookie Betts","LAD","157","679","583","165","34","3","33","118","95","82","105","5","22","5",".282",".373",".523",".896",".372","14.7","4.0","6.2","4.1","13611"
"Juan Soto","WSN","154","665","543","165","34","3","39","118","131","113","113","4","14","4",".303",".424",".595","1.018",".415","-2.5","0.3","5.9","3.4","20123"
"Alex Bregman","HOU","152","658","549","153","37","2","30","99","98","94","87","9","6","2",".278",".389",".519",".909",".381","-1.2","-0.2","5.8","47.0","17678"
"Ronald Acuna Jr.","ATL","156","672","569","160","29","2","42","125","106","88","169","10","30","8",".282",".385",".559",".945",".391","3.9","3.3","5.7","1.6","18401"
"Jose Ramirez","CLE","154","665","574","160","41","3","34","103","105","78","98","6","26","8",".279",".368",".540",".908",".376","1.8","2.6","5.7","10.9","13510"
"Fernando Tatis Jr.","SDP","152","658","577","164","28","6","36","110","106","64","164","10","28","10",".284",".363",".543",".906",".375","-2.1","1.5","5.6","2.4","19709"
"Anthony Rendon","LAA","154","665","564","158","36","2","28","92","101","84","99","11","3","1",".280",".380",".501",".882",".369","3.6","0.4","5.6","39.0","12861"
"Cody Bellinger","LAD","151","651","558","155","29","4","40","101","120","85","127","3","15","4",".277",".373",".555",".928",".379","1.2","0.9","5.4","16.9","15998"
"Corey Seager","LAD","149","644","575","167","37","2","31","98","111","58","115","5","4","1",".291",".358",".524",".882",".367","-0.1","0.9","5.3","32.1","13624"
"Matt Chapman","OAK","151","651","574","141","34","4","36","94","97","63","174","8","2","2",".246",".328",".508",".836",".347","9.6","0.3","5.1","115.1","16505"
"Francisco Lindor","NYM","157","679","605","162","35","2","32","100","87","60","105","6","19","6",".267",".338",".490",".828",".343","7.2","0.6","5.0","18.6","12916"
"Carlos Correa","HOU","151","651","571","154","30","1","30","85","104","68","146","5","2","0",".270",".349",".481",".830",".347","-0.5","0.6","4.6","121.4","14162"
"Freddie Freeman","ATL","157","679","576","170","40","2","32","107","112","91","124","8","6","3",".295",".396",".538",".934",".386","3.5","-0.5","4.5","13.0","5361"
"Aaron Judge","NYY","134","581","484","122","20","1","36","94","93","86","179","5","4","3",".252",".369",".521",".890",".371","7.6","-0.3","4.4","53.3","15640"
"Christian Yelich","MIL","156","672","566","155","30","3","35","106","95","93","162","7","19","5",".275",".382",".524",".906",".376","-0.6","2.4","4.3","10.6","11477"
"Manny Machado","SDP","156","672","597","163","30","2","35","93","113","66","116","3","10","5",".273",".345",".507",".853",".352","3.3","-0.2","4.3","21.2","11493"
"Trea Turner","WSN","152","658","593","172","34","7","25","105","80","55","115","5","35","8",".291",".354",".494",".848",".356","-3.4","4.3","4.3","7.4","16252"
"Gleyber Torres","NYY","147","637","559","155","27","1","34","90","106","66","127","6","7","2",".278",".357",".511",".868",".362","-7.5","-0.2","4.2","63.9","16997"
"Yasmani Grandal","CHW","136","545","455","105","20","1","24","69","74","80","143","4","2","1",".230",".347",".438",".786",".336","3.5","-2.4","4.2","131.4","11368"
"Bo Bichette","TOR","149","644","591","167","38","5","25","92","95","44","119","3","27","9",".283",".333",".490",".822",".343","0.8","0.9","4.2","24.8","19612"
"Xander Bogaerts","BOS","149","644","571","162","37","2","27","92","94","64","116","4","11","2",".284",".358",".495",".853",".357","-4.6","1.7","4.1","34.1","12161"
"DJ LeMahieu","NYY","151","651","590","177","28","3","20","97","76","49","90","4","7","3",".300",".355",".459",".814",".345","4.4","-0.1","4.1","27.8","9874"
"George Springer","TOR","144","623","541","146","24","3","31","100","91","67","122","8","6","4",".271",".357",".495",".852",".358","-2.0","-0.2","4.0","48.1","12856"
"Nolan Arenado","STL","152","658","583","154","29","2","30","85","93","64","102","4","2","2",".264",".337",".478",".815",".337","8.0","0.0","3.9","41.7","9777"
"Ozzie Albies","ATL","151","651","594","168","36","5","27","97","88","46","109","5","16","4",".283",".338",".495",".833",".347","4.6","2.1","3.9","34.9","16556"
"Bryce Harper","PHI","154","665","538","138","29","2","36","105","111","115","162","6","14","5",".256",".390",".521",".911",".376","-1.9","-0.6","3.9","17.9","11579"
"Trevor Story","COL","152","658","589","162","35","6","34","100","90","59","172","5","26","8",".274",".344",".525",".869",".360","2.4","1.9","3.8","12.1","12564"
"J.T. Realmuto","PHI","138","551","497","132","27","2","24","76","87","40","121","8","7","2",".267",".330",".477",".806",".337","4.1","1.2","3.8","47.5","11739"
"Jose Altuve","HOU","154","665","596","169","31","2","24","97","81","57","105","6","13","6",".283",".350",".464",".814",".344","-4.0","0.0","3.6","95.2","5417"
"Byron Buxton","MIN","136","588","542","139","31","4","30","83","88","34","154","5","21","5",".257",".305",".492",".797",".330","7.8","2.7","3.6","109.4","14161"
"Kyle Tucker","HOU","151","651","584","157","31","7","30","94","102","55","138","5","23","6",".268",".333",".495",".829",".344","2.8","1.8","3.6","32.1","18345"
"Rafael Devers","BOS","147","637","582","166","40","3","32","96","103","46","133","4","6","3",".284",".339",".526",".866",".357","-4.1","0.3","3.5","41.0","17350"
"Luis Robert","CHW","149","644","589","154","27","5","30","85","94","40","181","8","25","9",".261",".314",".478",".793",".331","4.0","0.8","3.5","35.0","20043"
"Marcell Ozuna","ATL","149","644","572","161","28","2","35","89","120","66","138","2","5","2",".282",".357",".520",".877",".364","1.5","0.1","3.4","44.4","10324"
"Ketel Marte","ARI","154","665","600","172","36","8","21","87","74","52","90","6","7","2",".287",".348",".475",".822",".345","0.7","0.3","3.4","81.3","13613"
"Yordan Alvarez","HOU","122","525","455","128","27","0","34","80","95","62","134","3","4","1",".282",".369",".565",".934",".382","0.0","-0.4","3.4","78.9","19556"
"Michael Conforto","NYM","151","651","552","143","27","1","30","92","96","83","160","11","7","4",".260",".366",".478",".844",".356","0.0","-0.1","3.4","73.7","16376"
"Trent Grisham","SDP","143","616","524","129","23","6","23","86","73","78","140","6","16","5",".246",".348",".440",".788",".336","5.4","0.2","3.4","72.7","18564"
"Ramon Laureano","OAK","149","644","568","140","31","2","27","84","84","53","175","15","13","4",".247",".324",".450",".774",".327","2.0","1.5","3.4","145.9","17128"
"Josh Donaldson","MIN","136","588","489","118","23","0","29","80","81","88","143","7","3","1",".242",".363",".468",".831",".352","0.8","-1.1","3.3","190.7","5038"
"Jeff McNeil","NYM","154","665","595","174","37","3","19","86","77","48","85","15","7","5",".293",".359",".460",".819",".346","-3.2","-1.3","3.3","94.6","15362"
"Matt Olson","OAK","146","630","543","130","23","1","40","86","107","75","176","8","2","0",".239",".338",".506",".844",".350","5.9","-0.8","3.3","90.6","14344"
"Marcus Semien","TOR","149","644","570","148","29","3","24","91","81","66","113","2","11","4",".259",".336",".451",".787",".333","1.7","0.8","3.3","125.1","12533"
"Yoan Moncada","CHW","147","637","564","144","27","5","24","84","81","63","189","4","8","4",".256",".333",".450",".783",".330","1.5","0.3","3.1","86.5","17232"
"Max Kepler","MIN","146","630","548","136","32","2","30","91","81","69","111","7","6","3",".248",".337",".475",".813",".342","5.5","0.0","3.0","190.9","12144"
"Anthony Rizzo","CHC","157","679","569","151","29","2","29","92","96","81","103","23","7","3",".265",".376",".477",".852",".359","4.1","-2.3","3.0","106.3","3473"
"Paul DeJong","STL","149","644","572","141","30","1","26","81","88","54","161","11","5","2",".247",".320",".440",".761",".321","3.9","-0.3","3.0","239.7","18015"
"Vladimir Guerrero Jr.","TOR","144","623","558","160","32","4","27","84","97","55","98","5","3","1",".286",".354",".505",".859",".359","-0.5","-1.3","3.0","49.3","19611"
"Kris Bryant","CHC","146","630","538","136","30","3","26","91","74","70","149","15","3","2",".253",".353",".461",".814",".345","-2.5","0.7","3.0","123.5","15429"
"Aaron Hicks","NYY","134","581","482","115","23","3","22","82","75","90","128","3","8","4",".238",".358",".432",".789",".339","-1.8","0.7","2.9","244.6","5297"
"Justin Turner","LAD","126","546","474","131","26","1","19","75","73","52","89","14","2","0",".277",".362",".461",".823",".350","-2.9","-0.8","2.9","201.6","5235"
"Andrelton Simmons","MIN","134","581","534","148","30","2","9","68","59","37","58","4","10","3",".277",".328",".393",".720",".309","9.5","0.8","2.9","498.0","10847"
"Ke'Bryan Hayes","PIT","134","581","517","140","32","5","16","72","63","53","116","5","9","3",".270",".341",".446",".788",".332","4.6","0.2","2.8","136.9","18577"
"Michael Brantley","HOU","139","602","543","159","33","2","18","78","79","49","75","5","6","2",".293",".354",".460",".814",".344","0.9","-0.1","2.8","151.2","4106"
"Cavan Biggio","TOR","141","609","510","118","25","2","20","83","69","87","162","5","13","4",".232",".347",".410",".757",".327","2.2","0.6","2.8","68.6","19252"
"Eugenio Suarez","CIN","152","658","565","138","24","2","36","86","107","78","180","9","4","2",".244",".342",".486",".828",".346","-5.7","-1.4","2.8","66.6","12552"
"Brandon Lowe","TBR","131","567","502","123","26","3","26","74","81","53","162","7","6","2",".245",".324",".466",".790",".332","0.8","0.9","2.8","70.8","18882"
"Pete Alonso","NYM","151","651","563","138","25","1","43","91","110","67","172","16","2","2",".246",".340",".523",".863",".356","0.2","-1.5","2.8","55.0","19251"
"Brian Anderson","MIA","154","665","584","147","31","3","23","77","84","61","160","16","3","2",".252",".337",".434",".771",".328","-0.9","-0.1","2.7","266.5","18289"
"Alec Bohm","PHI","134","581","520","148","28","2","20","74","80","50","108","4","5","3",".284",".349",".465",".814",".343","-0.4","-0.5","2.7","999.0","21618"
"Alex Verdugo","BOS","136","588","530","152","35","2","16","76","62","48","96","4","8","3",".287",".348",".450",".799",".338","1.8","0.5","2.6","130.1","17027"
"Javier Baez","CHC","154","665","623","163","33","4","31","88","100","32","186","5","13","5",".261",".301",".480",".780",".322","-0.2","1.0","2.6","71.7","12979"
"Tim Anderson","CHW","154","665","628","178","34","3","24","93","78","25","151","5","19","6",".284",".315",".461",".776",".325","-8.5","1.7","2.6","44.6","15172"
"Christian Vazquez","BOS","110","437","401","105","21","1","14","50","50","29","86","2","6","3",".261",".313",".419",".732",".310","4.2","-1.2","2.6","152.1","9774"
"Paul Goldschmidt","STL","151","651","558","146","27","2","26","87","82","84","157","5","5","2",".262",".361",".458",".819",".348","1.9","0.1","2.5","92.2","9218"
"Giancarlo Stanton","NYY","130","560","481","120","23","1","39","84","107","67","180","7","4","2",".250",".347",".543",".890",".365","0.0","-1.0","2.5","112.6","4949"
"J.P. Crawford","SEA","151","651","565","137","25","5","13","78","63","71","135","8","11","5",".243",".334",".375",".709",".309","0.6","-0.1","2.5","505.7","15491"
"Rhys Hoskins","PHI","141","609","500","119","27","2","32","90","98","94","150","10","4","2",".238",".367",".488",".855",".360","0.3","-0.7","2.5","161.2","16472"
"Sean Murphy","OAK","104","410","363","87","19","1","16","51","51","36","97","5","2","1",".241",".314",".436",".750",".317","1.8","0.2","2.5","182.9","19352"
"Luke Voit","NYY","141","609","531","139","23","1","34","89","101","64","156","9","1","0",".261",".349",".500",".849",".356","-1.6","-0.8","2.5","61.8","14811"
"Max Muncy","LAD","134","581","480","114","19","1","30","85","93","89","150","7","4","1",".238",".363",".467",".830",".352","1.0","0.0","2.5","99.4","13301"
"Adalberto Mondesi","KCR","147","637","592","150","29","9","19","81","76","31","180","3","54","15",".253",".292",".429",".721",".302","4.0","5.0","2.5","24.3","13769"
"Salvador Perez","KCR","131","526","495","129","26","1","28","62","85","17","114","8","2","1",".261",".294",".486",".780",".322","5.3","-1.2","2.5","84.4","7304"
"Giovanny Urshela","NYY","143","616","563","156","32","0","20","77","86","40","108","6","3","1",".277",".328",".442",".769",".325","0.6","-0.7","2.4","167.3","10681"
"Luis Arraez","MIN","126","546","493","153","29","2","5","67","48","46","46","2","5","2",".311",".370",".410",".780",".337","-0.3","-0.4","2.4","482.2","18568"
"Brandon Nimmo","NYM","120","518","422","103","21","4","16","71","52","79","127","12","6","3",".243",".376",".427",".803",".348","-5.5","-0.1","2.4","264.8","12927"
"Didi Gregorius","PHI","134","581","531","142","25","3","24","76","92","36","80","6","6","3",".267",".318",".465",".783",".325","-0.2","0.0","2.3","162.0","6012"
"Ian Happ","CHC","139","602","516","127","24","2","28","81","79","76","177","5","9","4",".246",".346",".464",".811",".342","-3.0","-0.3","2.3","161.8","17919"
"Jose Iglesias","LAA","130","560","526","150","35","2","10","61","66","21","71","7","7","4",".285",".320",".414",".734",".311","3.0","0.0","2.3","525.1","10231"
"Nick Madrigal","CHW","141","609","559","166","28","3","6","67","54","33","36","9","21","10",".298",".344",".391",".735",".317","3.3","-1.5","2.3","193.9","20521"
"Jeimer Candelario","DET","139","602","529","132","29","4","21","74","74","62","149","7","3","1",".249",".334",".438",".772",".328","2.1","-0.3","2.3","280.5","13621"
"Willy Adames","TBR","131","567","505","125","24","2","18","65","62","53","160","3","7","3",".247",".319",".411",".730",".311","-0.5","0.3","2.3","427.5","15986"
"Tommy Pham","SDP","131","567","488","128","23","2","19","78","66","69","123","6","19","5",".262",".358",".432",".791",".339","0.6","1.8","2.2","139.8","2967"
"Mark Canha","OAK","139","602","509","123","27","3","23","78","78","70","143","17","5","2",".241",".348",".442",".790",".336","-0.6","-0.2","2.2","265.1","11445"
"Kyle Seager","SEA","146","630","556","134","29","1","25","74","89","59","120","9","5","2",".242",".321",".432",".754",".318","-0.3","-0.8","2.2","291.7","9785"
"Buster Posey","SFG","107","424","380","99","20","1","7","43","43","36","65","4","2","1",".261",".330",".371",".701",".303","3.7","-1.2","2.2","242.6","9166"
"Nelson Cruz","MIN","133","574","502","134","22","0","35","79","97","59","150","9","1","0",".267",".353",".524",".877",".361","0.0","-2.1","2.2","92.2","2434"
"Travis d'Arnaud","ATL","112","442","399","105","19","0","17","51","71","34","103","4","1","0",".262",".324",".441",".765",".323","-2.4","-0.7","2.2","138.9","7739"
"Randy Arozarena","TBR","144","623","552","144","28","3","26","84","78","48","151","17","21","10",".261",".336",".464",".800",".337","-3.7","-0.8","2.1","59.2","19290"
"Joey Gallo","TEX","149","644","540","113","24","2","41","90","99","93","240","8","7","3",".209",".332",".486",".818",".341","2.5","0.8","2.1","148.8","14128"
"Starling Marte","MIA","146","630","578","158","30","4","17","82","71","31","113","15","24","8",".273",".325",".429",".753",".319","-2.9","1.7","2.1","50.0","9241"
"Mike Yastrzemski","SFG","149","644","567","144","31","6","23","86","80","63","164","7","7","4",".254",".334",".453",".787",".331","2.4","-0.5","2.1","139.3","14854"
"Miguel Sano","MIN","149","644","562","129","26","2","42","95","104","72","244","5","1","0",".230",".322",".507",".828",".343","-0.7","-0.9","2.1","200.8","12164"
"David Fletcher","LAA","147","637","581","162","32","3","8","77","53","45","70","3","8","3",".279",".333",".385",".719",".310","3.1","-0.1","2.1","235.4","17992"
"Jorge Polanco","MIN","131","567","512","140","29","4","15","73","65","44","93","4","8","4",".274",".334",".436",".770",".326","-2.6","-0.1","2.1","252.4","13152"
"Mike Moustakas","CIN","152","658","588","150","30","1","37","82","110","56","124","8","3","1",".255",".326",".495",".820",".340","-5.1","-1.3","2.1","120.0","4892"
"Dansby Swanson","ATL","149","644","571","143","31","3","20","84","80","60","159","5","11","4",".250",".325",".419",".744",".315","0.0","1.2","2.0","108.2","18314"
"Miguel Rojas","MIA","128","553","500","135","26","1","9","58","54","39","70","8","10","4",".270",".330",".384",".714",".306","3.7","-0.6","2.0","508.6","7802"
"Kyle Schwarber","WSN","121","525","446","106","19","2","32","75","83","70","146","5","3","2",".238",".346",".506",".851",".352","0.0","-0.8","2.0","201.0","16478"
"Kolten Wong","MIL","133","574","501","132","25","4","11","67","57","51","93","13","15","5",".264",".344",".396",".740",".318","3.6","0.9","2.0","250.2","12532"
"Will Smith","LAD","94","372","322","77","16","1","19","50","63","40","91","5","2","0",".240",".331",".475",".805",".337","1.7","-0.4","2.0","101.7","19197"
"Whit Merrifield","KCR","156","672","616","173","35","4","16","88","66","42","107","6","26","8",".281",".331",".428",".759",".322","2.0","1.8","1.9","41.6","11281"
"Willson Contreras","CHC","113","450","389","97","20","2","17","57","61","45","110","13","3","3",".250",".345",".441",".786",".335","-1.0","-1.4","1.9","122.9","11609"
"Danny Jansen","TOR","89","352","305","71","14","1","13","43","46","35","69","6","2","0",".233",".322",".414",".736",".315","0.0","-0.2","1.9","328.2","16535"
"Nick Ahmed","ARI","149","644","583","146","32","4","18","73","79","51","130","3","8","3",".250",".311",".411",".722",".306","3.4","0.8","1.9","493.2","12147"
"Kevin Kiermaier","TBR","122","525","475","110","20","7","14","60","59","39","129","6","17","6",".232",".297",".397",".694",".294","7.6","1.3","1.9","534.0","11038"
"Jose Abreu","CHW","154","665","607","165","35","2","33","86","115","40","153","11","2","1",".272",".326",".499",".825",".341","-2.7","-1.4","1.9","41.4","15676"
"Joc Pederson","CHC","130","560","487","118","25","3","28","80","76","57","124","11","3","2",".243",".333",".480",".812",".340","0.8","-0.5","1.8","251.0","11899"
"Willi Castro","DET","130","560","514","139","24","6","15","66","65","31","128","7","9","4",".271",".318",".428",".746",".316","-2.1","-0.3","1.8","238.9","17338"
"Max Stassi","LAA","84","333","291","66","12","0","13","37","42","32","89","5","1","1",".225",".310",".398",".708",".304","-0.8","-0.9","1.8","426.8","10059"
"J.D. Martinez","BOS","149","644","567","154","33","2","32","88","100","67","155","4","3","1",".271",".349",".506",".855",".353","0.0","-1.5","1.8","93.4","6184"
"Mitch Haniger","SEA","131","567","496","123","27","2","24","76","71","56","145","10","6","3",".247",".333",".453",".786",".332","1.4","-0.7","1.8","241.0","14274"
"Kyle Lewis","SEA","149","644","573","137","23","1","22","73","74","62","196","3","7","3",".239",".314",".396",".710",".305","0.0","0.3","1.8","146.4","19508"
"Jean Segura","PHI","136","588","539","151","27","4","14","75","65","38","87","5","11","5",".279",".331",".420",".750",".318","0.1","0.7","1.8","190.4","5933"
"Lorenzo Cain","MIL","125","539","480","129","22","2","10","67","43","49","94","6","15","5",".270",".343",".385",".727",".315","4.5","1.1","1.8","293.4","9077"
"Jorge Soler","KCR","143","616","532","129","26","1","34","78","91","71","181","8","3","1",".243",".339",".485",".824",".346","-0.1","-0.4","1.8","142.9","14221"
"Lourdes Gurriel Jr.","TOR","138","595","552","149","30","1","28","75","89","31","137","6","7","4",".269",".311",".479",".790",".329","0.5","-1.0","1.7","88.3","19238"
"Eddie Rosario","CLE","128","553","515","143","27","1","28","75","89","31","89","1","6","2",".277",".318",".496",".813",".336","-0.7","0.1","1.7","107.2","12155"
"Brandon Belt","SFG","123","532","452","112","26","2","18","66","66","72","121","4","3","1",".248",".354",".436",".790",".337","3.9","-1.1","1.7","472.5","10264"
"Jesse Winker","CIN","117","504","427","116","22","1","20","66","63","64","99","9","3","2",".271",".375",".464",".838",".357","-3.5","-1.1","1.7","210.5","13590"
"Victor Robles","WSN","151","651","579","146","30","4","17","79","72","41","149","21","24","9",".252",".322",".406",".728",".311","3.2","1.0","1.7","133.3","18363"
"Carson Kelly","ARI","96","378","333","81","16","0","13","41","46","38","78","3","1","0",".242",".323",".413",".736",".312","0.5","-0.4","1.7","262.7","13620"
"Anthony Santander","BAL","147","637","591","156","36","3","29","80","95","35","119","6","4","3",".264",".309",".483",".791",".327","1.5","-1.4","1.7","167.2","14551"
"Carlos Santana","KCR","146","630","525","129","25","1","22","81","78","97","101","4","2","1",".246",".365",".426",".791",".339","0.2","-0.6","1.7","288.2","2396"
"Harrison Bader","STL","113","490","428","98","18","3","17","61","54","44","150","12","12","5",".230",".317",".403",".721",".308","5.1","0.7","1.7","523.3","18030"
"Roberto Perez","CLE","96","378","330","67","11","1","12","35","41","37","117","4","1","0",".204",".291",".352",".643",".279","6.8","-1.0","1.6","527.0","2900"
"Gavin Lux","LAD","115","497","448","114","21","4","19","64","71","42","111","2","8","4",".255",".320",".448",".768",".323","-1.1","-0.3","1.6","220.7","19955"
"Teoscar Hernandez","TOR","147","637","574","139","27","3","36","85","98","54","204","4","11","5",".242",".309",".489",".798",".331","-0.9","0.0","1.6","85.4","13066"
"Jonathan Schoop","DET","128","553","513","134","24","3","24","70","75","25","124","9","2","0",".261",".305",".460",".766",".319","-2.6","0.0","1.6","377.2","11265"
"Jacob Stallings","PIT","94","371","333","84","19","0","7","36","38","28","84","4","1","1",".251",".315",".377",".691",".296","2.9","-0.6","1.6","483.4","13723"
"Ryan Mountcastle","BAL","134","581","540","152","27","2","24","69","86","31","131","4","2","1",".281",".322",".472",".794",".332","0.6","-0.6","1.6","155.1","18373"
"Cesar Hernandez","CLE","131","567","501","133","26","2","10","68","49","56","110","5","7","3",".266",".343",".384",".728",".315","-0.7","0.1","1.6","396.2","10556"
"Jason Heyward","CHC","125","539","468","118","20","4","15","64","62","62","98","5","5","2",".253",".343",".409",".753",".323","5.0","0.5","1.5","521.0","4940"
"Wil Myers","SDP","141","609","541","132","28","3","28","77","91","59","180","4","14","5",".243",".320",".462",".782",".328","-1.6","1.0","1.5","135.1","10047"
"Hunter Dozier","KCR","144","623","551","134","28","6","22","75","74","64","167","3","6","2",".243",".323",".434",".758",".321","-4.1","-0.6","1.5","234.5","15117"
"Adam Eaton","CHW","126","546","478","125","22","4","13","74","52","50","98","10","10","3",".261",".342",".404",".745",".322","0.4","0.8","1.5","420.8","11205"
"Chris Taylor","LAD","117","504","446","112","26","4","16","64","66","48","140","5","8","3",".250",".328",".433",".761",".323","-2.8","0.5","1.5","234.8","13757"
"Ryan Jeffers","MIN","81","320","290","72","12","0","12","37","37","23","77","5","1","0",".249",".313",".415",".728",".310","0.5","-0.2","1.4","433.2","24618"
"Shohei Ohtani","LAA","115","497","440","113","22","2","24","68","80","50","139","3","14","4",".258",".336",".481",".817",".342","0.0","0.6","1.4","168.6","19755"
"Austin Nola","SDP","89","354","312","78","16","2","9","40","43","33","73","5","2","1",".249",".328",".392",".720",".309","-0.7","-0.1","1.4","187.5","15941"
"Gary Sanchez","NYY","109","429","377","82","14","0","27","57","76","42","130","7","1","0",".218",".305",".468",".773",".323","-6.0","-0.7","1.4","153.0","11442"
"Franmil Reyes","CLE","152","658","585","150","26","0","37","87","105","63","192","3","1","1",".257",".329",".493",".822",".342","0.0","-1.1","1.4","157.4","14566"
"Austin Meadows","TBR","117","504","451","113","24","3","21","65","64","43","123","5","10","4",".252",".322",".461",".783",".328","0.3","-0.4","1.4","84.2","15672"
"Andrew Benintendi","KCR","131","567","489","124","27","3","14","71","58","65","120","5","13","5",".253",".344",".408",".752",".323","1.1","0.3","1.4","219.2","17901"
"Dylan Carlson","STL","136","588","525","130","28","6","18","69","71","51","139","6","12","6",".248",".318",".427",".745",".315","3.3","-0.6","1.4","999.0","20126"
"Luis Urias","MIL","126","546","478","118","23","4","12","61","59","53","123","9","6","4",".248",".333",".388",".721",".312","1.0","-0.7","1.4","492.8","16622"
"Manuel Margot","TBR","105","455","412","105","21","3","11","53","48","35","90","2","19","7",".256",".316",".405",".721",".307","4.0","0.9","1.4","257.0","14712"
"Adam Frazier","PIT","128","553","498","132","28","3","11","65","52","41","78","7","6","5",".266",".329",".403",".732",".313","0.7","-0.6","1.4","525.9","15223"
"Trey Mancini","BAL","131","567","511","137","25","2","25","71","78","43","131","7","1","0",".268",".331",".477",".808",".338","-0.8","0.0","1.4","157.9","15149"
"A.J. Pollock","LAD","131","567","516","130","26","2","28","75","86","37","128","7","9","3",".252",".309",".472",".781",".325","-0.2","0.1","1.4","198.9","9256"
"Tucker Barnhart","CIN","104","410","359","84","16","1","11","39","44","44","90","2","2","1",".234",".319",".377",".696",".299","5.5","-1.5","1.4","536.3","10200"
"Dominic Smith","NYM","131","567","514","135","32","2","23","70","81","42","136","7","2","1",".263",".324",".464",".788",".331","-2.9","-0.6","1.4","127.4","15653"
"Alejandro Kirk","TOR","83","340","304","83","20","1","10","43","43","29","51","3","2","1",".272",".340",".445",".785",".333","0.1","-0.2","1.3","309.3","22581"
"Ty France","SEA","128","553","497","130","25","2","18","65","69","35","117","16","2","2",".262",".328",".434",".762",".324","0.0","-1.1","1.3","286.4","17982"
"Yandy Diaz","TBR","110","476","410","112","20","1","9","58","45","59","84","3","3","2",".274",".367",".394",".760",".331","0.1","-0.6","1.3","538.0","16578"
"Austin Hays","BAL","113","490","456","118","21","2","19","61","61","24","103","5","9","6",".260",".303",".441",".744",".312","2.4","-0.8","1.3","254.3","19363"
"Eduardo Escobar","ARI","141","609","553","139","28","6","22","72","80","45","120","4","3","2",".251",".309",".444",".753",".312","0.4","-0.4","1.3","305.0","6153"
"Myles Straw","HOU","130","560","498","127","18","4","4","64","40","53","114","3","34","9",".254",".327",".327",".654",".289","2.0","2.8","1.3","270.5","17620"
"Austin Riley","ATL","133","574","522","129","25","3","29","72","90","42","162","6","1","1",".248",".309",".472",".781",".324","-2.7","-0.6","1.3","218.5","18360"
"Jake Cronenworth","SDP","110","476","425","114","23","4","8","56","49","42","82","5","10","4",".267",".337",".399",".736",".317","1.0","-0.2","1.3","215.7","18036"
"Andres Gimenez","CLE","123","532","484","123","22","5","11","63","52","28","114","13","26","12",".253",".310",".392",".701",".300","0.9","0.0","1.3","154.1","19950"
"Yadier Molina","STL","102","403","373","96","17","0","9","38","46","19","62","6","3","1",".257",".301",".378",".679",".290","2.9","-1.4","1.3","265.0","7007"
"Clint Frazier","NYY","128","553","487","119","26","3","24","72","79","53","156","7","6","2",".244",".325",".456",".781",".329","-3.5","-0.5","1.2","177.1","15983"
"J.D. Davis","NYM","102","441","390","101","20","1","17","54","55","41","106","6","2","1",".258",".335",".441",".776",".329","-5.4","-0.7","1.2","270.6","16219"
"Elvis Andrus","OAK","139","602","557","140","29","3","12","68","60","35","93","4","17","7",".252",".298",".380",".678",".289","-2.6","1.1","1.2","365.0","8709"
"Mitch Garver","MIN","84","336","295","70","14","1","15","45","46","35","95","3","1","0",".236",".321",".442",".763",".323","-2.5","-0.4","1.2","203.5","15161"
"Tommy Edman","STL","117","504","461","121","20","5","11","61","48","30","95","6","12","4",".263",".314",".398",".712",".304","2.0","0.9","1.2","131.2","19470"
"Amed Rosario","CLE","100","434","406","114","20","5","10","53","46","21","82","3","12","5",".281",".318",".428",".746",".314","-1.8","0.3","1.2","409.5","15518"
"Austin Barnes","LAD","58","230","197","44","9","1","5","27","24","26","55","4","4","1",".224",".326",".347",".674",".295","0.6","-0.1","1.1","558.2","12158"
"Nico Hoerner","CHC","118","511","461","124","22","4","8","61","58","37","74","7","11","5",".269",".330",".389",".719",".310","0.8","-0.1","1.1","497.3","21479"
"David Peralta","ARI","130","560","511","138","27","3","17","63","71","41","118","5","2","1",".271",".329",".437",".766",".324","2.2","-0.5","1.1","285.4","2136"
"Tommy La Stella","SFG","110","476","424","117","22","3","11","59","50","41","44","5","2","1",".275",".344",".413",".757",".325","-3.8","-0.4","1.1","380.9","12371"
"Nick Solak","TEX","131","567","507","135","23","2","16","69","68","47","121","7","10","3",".266",".334",".415",".748",".320","-3.8","0.6","1.1","178.0","19294"
"Andrew McCutchen","PHI","134","581","500","124","22","1","23","81","73","69","129","5","8","3",".248",".343",".438",".781",".333","-3.4","-1.3","1.1","206.7","9847"
"Martin Maldonado","HOU","94","371","329","69","14","0","12","40","40","30","105","7","1","1",".210",".289",".358",".647",".280","2.6","-1.0","1.1","534.3","6887"
"Robbie Grossman","DET","126","546","469","118","26","3","13","66","56","67","103","5","10","4",".252",".349",".409",".758",".326","-2.5","-0.5","1.1","429.8","5254"
"James McCann","NYM","110","435","397","93","16","1","15","46","52","28","125","7","3","2",".234",".294",".389",".682",".291","1.8","-0.9","1.1","179.9","12859"
"Wilson Ramos","DET","86","340","310","85","14","0","11","35","44","24","55","3","0","0",".275",".329",".427",".756",".320","-2.9","-1.5","1.0","260.4","1433"
